Id,Name,Year,Gender,State,Count
13475,Mila,2013,F,AK,6
13476,Noelle,2013,F,AK,6
13477,Olive,2013,F,AK,6
13478,Parker,2013,F,AK,6
13479,Stephanie,2013,F,AK,6
13480,Sylvia,2013,F,AK,6
13481,Talia,2013,F,AK,6
13482,Adelynn,2013,F,AK,5
13483,Alexa,2013,F,AK,5
13484,Allie,2013,F,AK,5
13485,Ally,2013,F,AK,5
13486,Amber,2013,F,AK,5
13487,April,2013,F,AK,5
13488,Ariah,2013,F,AK,5
13489,Brylee,2013,F,AK,5
13490,Cadence,2013,F,AK,5
13491,Cali,2013,F,AK,5
13492,Camryn,2013,F,AK,5
13493,Dahlia,2013,F,AK,5
13494,Danielle,2013,F,AK,5
13495,Daphne,2013,F,AK,5
13496,Delaney,2013,F,AK,5
13497,Elena,2013,F,AK,5
13498,Eve,2013,F,AK,5
13499,Finley,2013,F,AK,5
13500,Gabrielle,2013,F,AK,5
13501,Ivy,2013,F,AK,5
13502,Josie,2013,F,AK,5
13503,Kamryn,2013,F,AK,5
13504,Keira,2013,F,AK,5
13505,Kennedy,2013,F,AK,5
13506,Kylee,2013,F,AK,5
13507,Liberty,2013,F,AK,5
13508,Lilyana,2013,F,AK,5
13509,Lucia,2013,F,AK,5
13510,Lyla,2013,F,AK,5
13511,Macy,2013,F,AK,5
13512,Madeleine,2013,F,AK,5
13513,Madilyn,2013,F,AK,5
13514,Marina,2013,F,AK,5
13515,Morgan,2013,F,AK,5
13516,Nadia,2013,F,AK,5
13517,Norah,2013,F,AK,5
13518,Rachel,2013,F,AK,5
13519,Rosalie,2013,F,AK,5
13520,Ruth,2013,F,AK,5
13521,Teagan,2013,F,AK,5
13522,Valentina,2013,F,AK,5
13523,Emma,2014,F,AK,50
13524,Olivia,2014,F,AK,47
13525,Sophia,2014,F,AK,43
13526,Aurora,2014,F,AK,35
13527,Isabella,2014,F,AK,33
13528,Abigail,2014,F,AK,32
13529,Avery,2014,F,AK,32
13530,Evelyn,2014,F,AK,31
13531,Hannah,2014,F,AK,31
13532,Amelia,2014,F,AK,29
13533,Grace,2014,F,AK,29
13534,Harper,2014,F,AK,29
13535,Charlotte,2014,F,AK,28
13536,Ella,2014,F,AK,28
13537,Ava,2014,F,AK,24
13538,Emily,2014,F,AK,24
13539,Aria,2014,F,AK,23
13540,Penelope,2014,F,AK,23
13541,Annabelle,2014,F,AK,22
13542,Lily,2014,F,AK,22
13543,Zoey,2014,F,AK,22
13544,Chloe,2014,F,AK,21
13545,Aubrey,2014,F,AK,20
13546,Elizabeth,2014,F,AK,20
13547,Hailey,2014,F,AK,20
13548,Kaylee,2014,F,AK,20
13549,Lillian,2014,F,AK,20
13550,Natalie,2014,F,AK,20
13551,Peyton,2014,F,AK,20
13552,Piper,2014,F,AK,20
13553,Eleanor,2014,F,AK,19
13554,Hazel,2014,F,AK,19
13555,Sadie,2014,F,AK,19
13556,Violet,2014,F,AK,19
13557,Anna,2014,F,AK,18
13558,Brooklyn,2014,F,AK,18
